2018-02-25 17:43:43 status half-configured libfile-fcntllock-perl:armhf 0.22-1+b1
2018-02-25 17:43:43 status half-installed libfile-fcntllock-perl:armhf 0.22-1+b1
2018-02-25 17:43:43 status config-files libfile-fcntllock-perl:armhf 0.22-1+b1
2018-02-25 17:43:43 status config-files libfile-fcntllock-perl:armhf 0.22-1+b1
2018-02-25 17:43:43 status config-files libfile-fcntllock-perl:armhf 0.22-1+b1
2018-02-25 17:43:43 status not-installed libfile-fcntllock-perl:armhf <none>
2018-02-25 17:43:43 status installed libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 remove libgomp1:armhf 4.9.2-10 <none>
2018-02-25 17:43:43 status half-configured libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status half-installed libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status config-files libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 purge libgomp1:armhf 4.9.2-10 <none>
2018-02-25 17:43:43 status config-files libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status config-files libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status config-files libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status config-files libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status config-files libgomp1:armhf 4.9.2-10
2018-02-25 17:43:43 status not-installed libgomp1:armhf <none>
2018-02-25 17:43:43 status installed wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:43 remove wireless-tools:armhf 30~pre9-8 <none>
2018-02-25 17:43:43 status half-configured wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:43 status half-installed wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 status config-files wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 purge wireless-tools:armhf 30~pre9-8 <none>
2018-02-25 17:43:44 status config-files wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 status config-files wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 status config-files wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 status config-files wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 status config-files wireless-tools:armhf 30~pre9-8
2018-02-25 17:43:44 status not-installed wireless-tools:armhf <none>
2018-02-25 17:43:44 status installed libiw30:armhf 30~pre9-8
2018-02-25 17:43:44 remove libiw30:armhf 30~pre9-8 <none>
2018-02-25 17:43:44 status half-configured libiw30:armhf 30~pre9-8
2018-02-25 17:43:44 status half-installed libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 status config-files libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 purge libiw30:armhf 30~pre9-8 <none>
2018-02-25 17:43:46 status config-files libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 status config-files libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 status config-files libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 status config-files libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 status config-files libiw30:armhf 30~pre9-8
2018-02-25 17:43:46 status not-installed libiw30:armhf <none>
2018-02-25 17:43:46 status installed libtimedate-perl:all 2.3000-2
2018-02-25 17:43:46 remove libtimedate-perl:all 2.3000-2 <none>
2018-02-25 17:43:46 status half-configured libtimedate-perl:all 2.3000-2
2018-02-25 17:43:46 status half-installed libtimedate-perl:all 2.3000-2
2018-02-25 17:43:46 status config-files libtimedate-perl:all 2.3000-2
2018-02-25 17:43:46 status config-files libtimedate-perl:all 2.3000-2
2018-02-25 17:43:46 status config-files libtimedate-perl:all 2.3000-2
2018-02-25 17:43:46 status not-installed libtimedate-perl:all <none>
2018-02-25 17:43:46 status installed libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 remove libubsan0:armhf 4.9.2-10 <none>
2018-02-25 17:43:47 status half-configured libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status half-installed libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status config-files libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 purge libubsan0:armhf 4.9.2-10 <none>
2018-02-25 17:43:47 status config-files libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status config-files libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status config-files libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status config-files libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status config-files libubsan0:armhf 4.9.2-10
2018-02-25 17:43:47 status not-installed libubsan0:armhf <none>
2018-02-25 17:43:47 status installed patch:armhf 2.7.5-1
2018-02-25 17:43:47 remove patch:armhf 2.7.5-1 <none>
2018-02-25 17:43:47 status half-configured patch:armhf 2.7.5-1
2018-02-25 17:43:47 status half-installed patch:armhf 2.7.5-1
2018-02-25 17:43:47 status config-files patch:armhf 2.7.5-1
2018-02-25 17:43:47 status config-files patch:armhf 2.7.5-1
2018-02-25 17:43:47 status config-files patch:armhf 2.7.5-1
2018-02-25 17:43:47 status not-installed patch:armhf <none>
2018-02-25 17:43:47 status installed wireless-regdb:all 2016.06.10-1~deb8u1
2018-02-25 17:43:47 remove wireless-regdb:all 2016.06.10-1~deb8u1 <none>
2018-02-25 17:43:47 status half-configured wireless-regdb:all 2016.06.10-1~deb8u1
2018-02-25 17:43:47 status half-installed wireless-regdb:all 2016.06.10-1~deb8u1
2018-02-25 17:43:48 status config-files wireless-regdb:all 2016.06.10-1~deb8u1
2018-02-25 17:43:48 status config-files wireless-regdb:all 2016.06.10-1~deb8u1
2018-02-25 17:43:48 status config-files wireless-regdb:all 2016.06.10-1~deb8u1
2018-02-25 17:43:48 status not-installed wireless-regdb:all <none>
2018-02-25 17:43:48 trigproc man-db:armhf 2.7.5-1~bpo8+1 <none>
2018-02-25 17:43:48 status half-configured man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:43:48 status installed man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:43:48 trigproc libc-bin:armhf 2.19-18+deb8u10 <none>
2018-02-25 17:43:48 status half-configured libc-bin:armhf 2.19-18+deb8u10
2018-02-25 17:43:50 status installed libc-bin:armhf 2.19-18+deb8u10
2018-02-25 17:43:52 startup packages configure
2018-02-25 17:44:49 startup packages purge
2018-02-25 17:44:49 status installed cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:50 remove cifs-utils:armhf 2:6.4-1 <none>
2018-02-25 17:44:50 status half-configured cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:50 status half-installed cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:50 status triggers-pending man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:44:50 status config-files cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:50 purge cifs-utils:armhf 2:6.4-1 <none>
2018-02-25 17:44:50 status config-files cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:50 status config-files cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:51 status config-files cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:51 status config-files cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:51 status config-files cifs-utils:armhf 2:6.4-1
2018-02-25 17:44:51 status not-installed cifs-utils:armhf <none>
2018-02-25 17:44:51 status installed libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 remove libtalloc2:armhf 2.1.2-0+deb8u1 <none>
2018-02-25 17:44:51 status half-configured libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status half-installed libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status triggers-pending libc-bin:armhf 2.19-18+deb8u10
2018-02-25 17:44:51 status config-files libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 purge libtalloc2:armhf 2.1.2-0+deb8u1 <none>
2018-02-25 17:44:51 status config-files libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status config-files libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status config-files libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status config-files libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status config-files libtalloc2:armhf 2.1.2-0+deb8u1
2018-02-25 17:44:51 status not-installed libtalloc2:armhf <none>
2018-02-25 17:44:51 status installed libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
2018-02-25 17:44:51 remove libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6 <none>
2018-02-25 17:44:51 status half-configured libwbclient0:armhf 2:4.2.14+dfsg-0+deb8u6
